customer_id,age,Age_groups,gender,city,annual_income,spend_score,total_orders,avg_order_value,last_purchase_days_ago,loyalty_status,preferred_channel,Profile_richness,spend score blanks%
CUST100000,56,,Unknown,Hyderabad,1950000,50,30,11400,291,,,Lower,1.542857143
CUST100001,69,,Unknown,Ahmedabad,375000,,46,3500,246,Silver,,Lower,
CUST100002,46,,Female,Mumbai,325000,6,76,8200,266,Gold,Online,Higher,
CUST100003,32,,Female,Kolkata,650000,85,21,10200,337,,Online,Higher,
CUST100004,60,,Female,Hyderabad,unknown,51,75,800,243,Gold,,Higher,
CUST100005,25,,Male,Chennai,1600000,36,48,8500,158,Silver,,Higher,
CUST100006,38,,Male,Kolkata,1375000,71,62,3300,300,Gold,Website,Higher,
CUST100007,56,,,,1850000,100,58,6800,327,,In-store,Lower,
CUST100008,36,,,Delhi,1875000,25,18,2000,18,Platinum,,Lower,
CUST100009,40,,Male,Mumbai,875000,11,59,10800,83,Bronze,,Higher,
CUST100010,28,,Male,Mumbai,550000,44,48,3000,335,,Website,Higher,
CUST100011,28,,Female,Mumbai,,14,63,7000,231,Platinum,,Higher,
CUST100012,41,,,Hyderabad,625000,29,12,6700,342,Silver,Mobile App,Lower,
CUST100013,,,,,1325000,74,34,11300,253,Platinum,,Lower,
CUST100014,53,,,Kolkata,1950000,50,61,10800,167,Gold,,Lower,
CUST100015,57,,Female,Delhi,175000,5,53,11600,42,,,Higher,
CUST100016,41,,Male,,1050000,72,25,8200,249,Platinum,,Higher,
CUST100017,20,,Female,Ahmedabad,150000,69,62,4700,248,Platinum,,Higher,
CUST100018,39,,Unknown,Chennai,225000,88,4,6000,286,,In-store,Lower,
CUST100019,,,Unknown,Bengaluru,1475000,57,13,4900,20,Gold,Mobile App,Lower,
CUST100020,19,,Female,,750000,26,42,6800,352,Bronze,,Higher,
CUST100021,41,,,Ahmedabad,200000,6,49,5400,42,Platinum,Online,Lower,
CUST100022,61,,Male,Delhi,350000,16,78,3800,345,,,Higher,
CUST100023,47,,Female,Bengaluru,,60,56,300,87,Silver,Mobile App,Higher,
CUST100024,55,,Female,Bengaluru,1975000,100,47,4100,261,Gold,In-store,Higher,
CUST100025,19,,Female,,975000,12,8,8900,306,Gold,,Higher,
CUST100026,38,,Male,Mumbai,1200000,75,55,9200,297,Platinum,In-store,Higher,
CUST100027,50,,Unknown,Pune,1975000,3,18,7700,350,,,Lower,
CUST100028,29,,,Delhi,675000,63,35,10800,240,,,Lower,
CUST100029,39,,,Mumbai,1875000,64,,300,167,Platinum,Online,Lower,
CUST100030,61,,Female,Delhi,175000,62,32,7700,313,Platinum,Mobile App,Higher,
CUST100031,42,,,Pune,1775000,,24,9000,219,,Online,Lower,
CUST100032,66,,,Chennai,925000,6,7,7600,133,Silver,,Lower,
CUST100033,44,,Female,Pune,525000,19,13,1600,207,,Website,Higher,
CUST100034,59,,Male,,,18,69,8000,51,Platinum,Mobile App,Higher,
CUST100035,45,,Female,,150000,80,42,7300,106,Bronze,In-store,Higher,
CUST100036,33,,Male,,1925000,87,31,2500,184,,,Higher,
CUST100037,32,,Male,Ahmedabad,1325000,43,74,4500,201,Silver,Online,Higher,
CUST100038,64,,,Mumbai,1375000,,26,2400,11,,,Lower,
CUST100039,68,,Male,Ahmedabad,450000,73,76,6200,254,,Website,Higher,
CUST100040,61,,,,500000,3,32,10200,150,Gold,,Lower,
CUST100041,NA,,Unknown,Pune,1450000,72,52,2900,354,Gold,,Lower,
CUST100042,69,,Female,,1225000,38,20,5800,355,Platinum,In-store,Higher,
CUST100043,20,,Female,Hyderabad,325000,68,40,400,96,Platinum,Online,Higher,
CUST100044,54,,,Pune,1975000,76,59,4100,106,,Mobile App,Lower,
CUST100045,68,,Female,Pune,1275000,44,77,5300,143,Bronze,Website,Higher,
CUST100046,24,,,,1850000,95,14,11200,166,,,Lower,
CUST100047,38,,Female,Chennai,600000,89,44,2100,1,Platinum,,Higher,
CUST100048,26,,,Delhi,1075000,80,48,6400,46,,,Lower,
CUST100049,56,,,,400000,63,43,7300,242,,,Lower,
CUST100050,35,,Unknown,Delhi,1200000,42,16,7800,344,,Online,Lower,
CUST100051,21,,,,625000,64,35,6900,278,,Mobile App,Lower,
CUST100052,42,,,,625000,54,53,6500,3,,In-store,Lower,
CUST100053,31,,Female,Delhi,650000,78,34,11300,142,,Website,Higher,
CUST100054,67,,Female,Ahmedabad,1550000,77,3,700,61,,,Higher,
CUST100055,26,,,,1375000,71,68,7400,294,,,Lower,
CUST100056,43,,Male,,1975000,76,5,8000,225,Gold,,Higher,
CUST100057,,,Unknown,,775000,37,10,6300,302,,Mobile App,Lower,
CUST100058,19,,Male,,875000,4,52,10200,170,Silver,Mobile App,Higher,
CUST100059,37,,Female,,1950000,2,29,7300,134,,Online,Higher,
CUST100060,45,,Female,Delhi,900000,99,31,900,41,Silver,Online,Higher,
CUST100061,64,,Female,Chennai,1175000,44,66,5200,231,,,Higher,
CUST100062,24,,Male,Kolkata,1825000,67,76,4800,226,Platinum,,Higher,
CUST100063,61,,,Delhi,1650000,68,69,9800,139,Bronze,Online,Lower,
CUST100064,25,,Female,Mumbai,1650000,,37,7400,110,,Website,Higher,
CUST100065,64,,Male,Bengaluru,1875000,76,27,7800,297,Bronze,,Higher,
CUST100066,52,,,Chennai,1825000,83,33,7600,57,Gold,Online,Lower,
CUST100067,31,,Male,Ahmedabad,550000,74,68,1600,123,Silver,,Higher,
CUST100068,34,,Female,Pune,600000,62,59,7500,240,Gold,Online,Higher,
CUST100069,53,,Male,Delhi,1400000,1,64,10400,86,Platinum,Website,Higher,
CUST100070,67,,Female,,1875000,17,44,9600,176,Platinum,Online,Higher,
CUST100071,57,,Female,Delhi,1700000,16,49,7100,63,,Online,Higher,
CUST100072,21,,Male,Hyderabad,,9,53,6700,39,,,Higher,
CUST100073,19,,,Chennai,875000,53,74,6700,138,,,Lower,
CUST100074,23,,,Kolkata,750000,73,49,5900,241,Platinum,,Lower,
CUST100075,,,Female,Ahmedabad,,59,66,6400,226,Platinum,,Higher,
CUST100076,59,,,Hyderabad,1900000,9,63,2200,206,,Online,Lower,
CUST100077,21,,Male,,775000,12,25,11500,164,Gold,,Higher,
CUST100078,,,Male,Hyderabad,1525000,41,4,7700,27,Bronze,Mobile App,Higher,
CUST100079,46,,Female,Delhi,675000,15,51,2800,183,Silver,In-store,Higher,
CUST100080,35,,Male,Ahmedabad,600000,66,11,4600,198,Platinum,In-store,Higher,
CUST100081,43,,Male,Delhi,900000,75,17,6900,337,,,Higher,
CUST100082,61,,Unknown,,775000,11,66,7200,107,Platinum,,Lower,
CUST100083,51,,Male,Pune,1175000,8,70,6400,189,Gold,Website,Higher,
CUST100084,27,,Male,Ahmedabad,1150000,55,73,10900,36,Silver,,Higher,
CUST100085,53,,Female,Pune,700000,96,69,4700,85,Gold,,Higher,
CUST100086,31,,Female,Chennai,1300000,6,29,1300,155,Bronze,,Higher,
CUST100087,48,,Female,Chennai,450000,53,73,7400,169,Gold,Online,Higher,
CUST100088,65,,Female,Pune,1775000,20,72,9500,284,Silver,,Higher,
CUST100089,32,,Male,Chennai,1775000,39,20,7600,272,Silver,Website,Higher,
CUST100090,25,,Female,Ahmedabad,525000,99,27,3600,35,Platinum,,Higher,
CUST100091,31,,Unknown,,1950000,72,8,9000,184,Bronze,Mobile App,Lower,
CUST100092,40,,Unknown,Mumbai,825000,34,61,4800,99,,,Lower,
CUST100093,57,,,Chennai,unknown,57,28,11400,237,Platinum,In-store,Lower,
CUST100094,38,,Male,Chennai,1000000,19,70,8300,122,,,Higher,
CUST100095,33,,,Delhi,1150000,71,3,3400,23,Gold,Mobile App,Lower,
CUST100096,62,,,Pune,unknown,31,69,7700,63,Gold,Mobile App,Lower,
CUST100097,35,,,Bengaluru,900000,82,73,10000,326,Silver,Mobile App,Lower,
CUST100098,64,,Female,Kolkata,925000,40,7,9000,150,,Website,Higher,
CUST100099,,,Female,Hyderabad,1475000,14,60,,195,Silver,Website,Higher,
CUST100100,41,,Female,Chennai,1925000,100,4,700,80,,,Higher,
CUST100101,43,,Female,Hyderabad,1600000,81,5,6500,315,Silver,Website,Higher,
CUST100102,42,,,Ahmedabad,1150000,37,11,3100,153,,In-store,Lower,
CUST100103,62,,Female,Bengaluru,1775000,44,15,5000,17,,Online,Higher,
CUST100104,58,,Female,Kolkata,1475000,9,64,11400,39,Platinum,,Higher,
CUST100105,46,,,Pune,1125000,58,13,10000,333,,,Lower,
CUST100106,32,,Male,Mumbai,825000,20,7,1800,348,,,Higher,
CUST100107,62,,Unknown,Kolkata,1050000,92,6,2700,202,Silver,,Lower,
CUST100108,18,,Male,Kolkata,1750000,50,56,10300,280,,Online,Higher,
CUST100109,42,,Male,Mumbai,1975000,20,64,7400,88,Platinum,,Higher,
CUST100110,24,,Female,,1500000,36,50,3100,300,Platinum,,Higher,
CUST100111,26,,Male,Pune,225000,27,30,5400,292,Bronze,,Higher,
CUST100112,41,,,Delhi,375000,72,22,4800,355,,Mobile App,Lower,
CUST100113,18,,Male,Hyderabad,1300000,32,25,2700,70,Gold,In-store,Higher,
CUST100114,61,,Female,Chennai,,1,28,10800,124,Gold,,Higher,
CUST100115,25,,Male,Kolkata,475000,17,39,2500,80,Bronze,In-store,Higher,
CUST100116,41,,,Ahmedabad,1075000,9,67,3600,45,Silver,,Lower,
CUST100117,28,,Unknown,Mumbai,425000,84,5,6900,233,Bronze,Online,Lower,
CUST100118,68,,Female,Hyderabad,1250000,45,65,9600,154,Silver,,Higher,
CUST100119,34,,Male,Bengaluru,550000,96,15,11600,180,,,Higher,
CUST100120,25,,Unknown,Mumbai,1000000,66,67,11900,31,,In-store,Lower,
CUST100121,52,,Female,Bengaluru,1775000,32,40,3600,85,Platinum,Mobile App,Higher,
CUST100122,52,,,Pune,,45,69,3400,45,Platinum,Mobile App,Lower,
CUST100123,50,,,Kolkata,1150000,9,77,11900,323,Platinum,,Lower,
CUST100124,22,,,Ahmedabad,1800000,30,43,3100,332,Platinum,Online,Lower,
CUST100125,59,,,Chennai,850000,84,1,1100,243,Gold,Website,Lower,
CUST100126,56,,Male,Bengaluru,575000,38,22,6800,40,Platinum,,Higher,
CUST100127,58,,Male,Hyderabad,625000,60,62,5900,182,Platinum,,Higher,
CUST100128,45,,Female,,475000,1,79,4100,297,Platinum,Mobile App,Higher,
CUST100129,24,,Male,Pune,975000,5,26,900,81,Silver,Mobile App,Higher,
CUST100130,26,,,,1350000,63,18,11200,38,,Online,Lower,
CUST100131,25,,,Pune,1475000,99,48,7100,356,Platinum,Mobile App,Lower,
CUST100132,29,,Male,Delhi,900000,36,9,1000,57,Bronze,,Higher,
CUST100133,51,,,Hyderabad,1575000,65,1,9800,322,Platinum,Online,Lower,
CUST100134,50,,Unknown,,1175000,78,9,,30,Platinum,In-store,Lower,
CUST100135,65,,,Ahmedabad,1575000,73,23,,266,Gold,Online,Lower,
CUST100136,NA,,Unknown,Kolkata,875000,94,45,2000,227,,,Lower,
CUST100137,40,,Unknown,Mumbai,750000,24,2,10400,317,Platinum,,Lower,
CUST100138,41,,,Chennai,1700000,4,14,11200,292,,In-store,Lower,
CUST100139,54,,Unknown,Kolkata,600000,78,38,8400,54,Silver,,Lower,
CUST100140,52,,Female,Kolkata,1925000,89,40,5100,97,,Online,Higher,
CUST100141,61,,Female,Pune,325000,68,63,10700,4,,,Higher,
CUST100142,57,,Female,Ahmedabad,200000,25,16,11100,310,,,Higher,
